Image Name,Left Top Longitude,Left Top Latitude,Right Bottom Longitude,Right Bottom Latitude
short_date0405_10h10m51s.tif,110.87318103385381,19.49772692326048,110.9388508361462,19.445069426739522
short_date0405_10h11m01s.tif,110.87267942147123,19.497419172871183,110.93835268352876,19.44475890212882
short_date0405_10h11m11s.tif,110.87299400897123,19.497803712871182,110.93866727102876,19.44514344212882
short_date0405_10h11m21s.tif,110.87307867897123,19.49791689287118,110.93875194102876,19.44525662212882
short_date0405_10h11m31s.tif,110.87296110647122,19.498012175371183,110.93863436852875,19.445351904628822
short_date0405_10h11m41s.tif,110.87288064647123,19.498080682871183,110.93855390852876,19.445420412128822
short_date0405_10h11m51s.tif,110.87354838147122,19.49704378787118,110.93922164352875,19.44438351712882
short_date0405_10h12m01s.tif,110.87328610408866,19.497440167481887,110.93896282591135,19.44477712251812
short_date0405_10h12m11s.tif,110.87386108170608,19.49769794959259,110.93954126329392,19.445032130407416
short_date0405_10h12m21s.tif,110.87355013170608,19.498248527092592,110.93923031329392,19.445582707907416
short_date0405_10h12m31s.tif,110.8743204868235,19.49833456420329,110.94000412817648,19.445665970796707
short_date0405_10h12m41s.tif,110.87391459420608,19.49860103709259,110.93959477579392,19.445935217907415
short_date0405_10h12m51s.tif,110.87403627170609,19.49789472209259,110.93971645329393,19.445228902907413
short_date0405_10h13m01s.tif,110.87359178908865,19.497447022481886,110.93926851091133,19.444783977518117
short_date0405_10h13m11s.tif,110.87419069408867,19.498337904981884,110.93986741591135,19.445674860018116
short_date0405_10h13m21s.tif,110.87408152897123,19.49767549787118,110.93975479102876,19.44501522712882
short_date0405_10h13m31s.tif,110.87384193135381,19.496687703260477,110.9395117336462,19.44403020673952
